PBW-6194, DUSTER, RENAULT, 998854
NPO-9736, SAVEIRO, VOLKSWAGEN, 942572
SNT-7582, HR-V, HONDA, 627008
MYT-1956, CLASSIC, CHEVROLET, 536956
BMU-8572, TORO, FIAT, 798625
SEF-3616, CORSA, CHEVROLET, 527276
YVA-7613, FOCUS, FORD, 888592
DPI-8217, PRISMA, CHEVROLET, 825736
JTD-9168, UP, VOLKSWAGEN, 557052
NCQ-5191, TORO, FIAT, 713719
DVV-8740, LOGAN, RENAULT, 620626
AVR-7240, CELTA, CHEVROLET, 646315
FDX-6513, MOBI, FIAT, 576128
NMK-1420, VOYAGE, VOLKSWAGEN, 299112
YHH-6228, VOYAGE, VOLKSWAGEN, 241332
JQZ-1839, KA, FORD, 798957
JCG-9343, CLASSIC, CHEVROLET, 15217
ICB-9118, FOCUS, FORD, 886960
CEK-6127, CLIO, RENAULT, 207582
RUS-4619, KWID, RENAULT, 381208
YDI-1402, FUSCA, VOLKSWAGEN, 320809
ZCM-5565, MARCH, NISSAN, 762386
YIY-8451, COROLLA, TOYOTA, 180042
JXJ-8182, TORO, FIAT, 696658
